LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
HUN,HHWEALTH,TOT,PC_NDI,A,2015,369.4229,
HUN,HHWEALTH,TOT,PC_NDI,A,2016,376.1808,
SVK,HHWEALTH,TOT,PC_NDI,A,2015,283.8556,
SVK,HHWEALTH,TOT,PC_NDI,A,2016,283.8807,
SVK,HHWEALTH,TOT,PC_NDI,A,2017,278.099,
SVK,HHWEALTH,TOT,PC_NDI,A,2018,268.86,
EST,HHWEALTH,TOT,PC_NDI,A,2015,310.079,
EST,HHWEALTH,TOT,PC_NDI,A,2016,309.1414,
EST,HHWEALTH,TOT,PC_NDI,A,2017,321.2354,
CZE,HHWEALTH,TOT,PC_NDI,A,2015,345.3838,
CZE,HHWEALTH,TOT,PC_NDI,A,2016,347.8891,
CZE,HHWEALTH,TOT,PC_NDI,A,2017,349.2848,
CZE,HHWEALTH,TOT,PC_NDI,A,2018,342.1461,
SVN,HHWEALTH,TOT,PC_NDI,A,2015,326.8094,
SVN,HHWEALTH,TOT,PC_NDI,A,2016,320.8713,
SVN,HHWEALTH,TOT,PC_NDI,A,2017,317.438,
NLD,HHWEALTH,TOT,PC_NDI,A,2015,673.3418,
NLD,HHWEALTH,TOT,PC_NDI,A,2016,701.9827,
NLD,HHWEALTH,TOT,PC_NDI,A,2017,685.4749,
NLD,HHWEALTH,TOT,PC_NDI,A,2018,680.1094,
GBR,HHWEALTH,TOT,PC_NDI,A,2015,441.0581,
GBR,HHWEALTH,TOT,PC_NDI,A,2016,474.3419,
GBR,HHWEALTH,TOT,PC_NDI,A,2017,475.2507,
GBR,HHWEALTH,TOT,PC_NDI,A,2018,450.0675,
LUX,HHWEALTH,TOT,PC_NDI,A,2015,445.3814,
LUX,HHWEALTH,TOT,PC_NDI,A,2016,453.655,
LUX,HHWEALTH,TOT,PC_NDI,A,2017,441.1064,
LUX,HHWEALTH,TOT,PC_NDI,A,2018,433.3558,
FRA,HHWEALTH,TOT,PC_NDI,A,2015,533.0162,
FRA,HHWEALTH,TOT,PC_NDI,A,2016,545.3804,
FRA,HHWEALTH,TOT,PC_NDI,A,2017,555.3358,
FRA,HHWEALTH,TOT,PC_NDI,A,2018,540.2639,
FIN,HHWEALTH,TOT,PC_NDI,A,2015,364.4214,
FIN,HHWEALTH,TOT,PC_NDI,A,2016,368.4481,
FIN,HHWEALTH,TOT,PC_NDI,A,2017,378.119,
FIN,HHWEALTH,TOT,PC_NDI,A,2018,370.5112,
ITA,HHWEALTH,TOT,PC_NDI,A,2015,563.7714,
ITA,HHWEALTH,TOT,PC_NDI,A,2016,563.1125,
ITA,HHWEALTH,TOT,PC_NDI,A,2017,565.7778,
ITA,HHWEALTH,TOT,PC_NDI,A,2018,542.0385,
POL,HHWEALTH,TOT,PC_NDI,A,2015,160.4798,
POL,HHWEALTH,TOT,PC_NDI,A,2016,164.3151,
BEL,HHWEALTH,TOT,PC_NDI,A,2015,673.6812,
BEL,HHWEALTH,TOT,PC_NDI,A,2016,673.9242,
BEL,HHWEALTH,TOT,PC_NDI,A,2017,659.4464,
BEL,HHWEALTH,TOT,PC_NDI,A,2018,637.0629,
DEU,HHWEALTH,TOT,PC_NDI,A,2015,466.2422,
DEU,HHWEALTH,TOT,PC_NDI,A,2016,470.6295,
DEU,HHWEALTH,TOT,PC_NDI,A,2017,480.0298,
DEU,HHWEALTH,TOT,PC_NDI,A,2018,480.3046,
SWE,HHWEALTH,TOT,PC_NDI,A,2015,551.787,
SWE,HHWEALTH,TOT,PC_NDI,A,2016,577.4764,
SWE,HHWEALTH,TOT,PC_NDI,A,2017,590.0756,
SWE,HHWEALTH,TOT,PC_NDI,A,2018,557.9818,
DNK,HHWEALTH,TOT,PC_NDI,A,2015,568.4469,
DNK,HHWEALTH,TOT,PC_NDI,A,2016,572.0054,
DNK,HHWEALTH,TOT,PC_NDI,A,2017,596.5999,
DNK,HHWEALTH,TOT,PC_NDI,A,2018,575.4767,
GRC,HHWEALTH,TOT,PC_NDI,A,2015,398.1548,
GRC,HHWEALTH,TOT,PC_NDI,A,2016,393.5377,
GRC,HHWEALTH,TOT,PC_NDI,A,2017,397.3935,
AUT,HHWEALTH,TOT,PC_NDI,A,2015,439.1964,
AUT,HHWEALTH,TOT,PC_NDI,A,2016,438.3664,
AUT,HHWEALTH,TOT,PC_NDI,A,2017,447.3167,
AUT,HHWEALTH,TOT,PC_NDI,A,2018,441.036,
PRT,HHWEALTH,TOT,PC_NDI,A,2015,394.6304,
PRT,HHWEALTH,TOT,PC_NDI,A,2016,395.0851,
PRT,HHWEALTH,TOT,PC_NDI,A,2017,411.0265,
LVA,HHWEALTH,TOT,PC_NDI,A,2015,350.5355,
LVA,HHWEALTH,TOT,PC_NDI,A,2016,357.0445,
LVA,HHWEALTH,TOT,PC_NDI,A,2017,362.3085,
LTU,HHWEALTH,TOT,PC_NDI,A,2015,221.8218,
LTU,HHWEALTH,TOT,PC_NDI,A,2016,222.4299,
LTU,HHWEALTH,TOT,PC_NDI,A,2017,231.0408,
ESP,HHWEALTH,TOT,PC_NDI,A,2015,377.7937,
ESP,HHWEALTH,TOT,PC_NDI,A,2016,378.8065,
ESP,HHWEALTH,TOT,PC_NDI,A,2017,387.2071,